program_type,grade_level
ICT,6
ICT,2
ICT,3
Gen Ed,7
Gen Ed,5
ICT,2
ICT,1
Gen Ed,6
ICT & G&T,5
ICT,4
G&T,1
ICT,2
ICT,2
ICT,8
ICT,4
Gen Ed,5
G&T,4
Gen Ed,7
Gen Ed,8
Gen Ed,K
ICT & G&T,K
ICT,K
Gen Ed,1
G&T,4
ICT,8
ICT,3
Gen Ed,6
G&T,5
Gen Ed,1
Gen Ed,K
Gen Ed,5
ICT,7
Gen Ed,3
Gen Ed,6
ICT,K
ICT,7
Gen Ed,2
G&T,K
ICT,5
Gen Ed,5
Gen Ed,K
G&T,K
Gen Ed,6
ICT,7
Gen Ed,1
ICT,5
ICT,K
Gen Ed,3
Gen Ed,K
Gen Ed,8
ICT,2
ICT & G&T,3
G&T,K
ICT,5
G&T,3
Gen Ed,2
ICT,7
Gen Ed,5
Gen Ed,5
Gen Ed,7
ICT,7
Gen Ed,4
Gen Ed,2
G&T,5
ICT,3
ICT,K
ICT & G&T,3
ICT,8
Gen Ed,6
ICT,4
ICT,8
G&T,2
Gen Ed,3
Gen Ed,4
Gen Ed,1
G&T,3
ICT & G&T,1
ICT,3
G&T,5
G&T,1
ICT,1
Gen Ed,1
Gen Ed,6
ICT,3
Gen Ed,K
G&T,3
Gen Ed,2
Gen Ed,6
Gen Ed,3
Gen Ed,K
ICT,8
ICT,1
ICT,7
Gen Ed,K
ICT,5
ICT,2
ICT,1
ICT,8
G&T,5
ICT,4
G&T,1
G&T,5
Gen Ed,4
ICT,4
ICT,K
ICT,5
ICT,7
ICT,6
Gen Ed,8
ICT,4
G&T,3
Gen Ed,4
G&T,2
Gen Ed,5
Gen Ed,1
Gen Ed,3
ICT & G&T,5
Gen Ed,2
G&T,K
Gen Ed,8
ICT,6
ICT,8
G&T,4
Gen Ed,3
ICT,K
G&T,K
Gen Ed,6
G&T,5
Gen Ed,7
ICT,5
G&T,1
Gen Ed,1
ICT,1
Gen Ed,4
Gen Ed,2
ICT,6
ICT,5
Gen Ed,2
ICT & G&T,2
Gen Ed,7
ICT,3
G&T,3
Gen Ed,2
Gen Ed,8
ICT,6
ICT,6
G&T,1
G&T,2
Gen Ed,4
G&T,4
Gen Ed,K
G&T,2
Gen Ed,8
ICT,4
Gen Ed,2
Gen Ed,3
Gen Ed,4
Gen Ed,7
ICT,K
ICT,1
Gen Ed,8
Gen Ed,3
ICT,3
ICT,4
Gen Ed,4
G&T,2
G&T,5
Gen Ed,1
ICT,3
ICT,5
Gen Ed,4
Gen Ed,K
ICT,4
ICT & G&T,4
Gen Ed,5
ICT,2
ICT,K
ICT,6
Gen Ed,3
ICT,5
ICT,1
Gen Ed,1
ICT,1
Gen Ed,7
ICT,K
ICT,2
Gen Ed,8
ICT,2
G&T,1
ICT,6
Gen Ed,6
ICT,8
ICT,3
G&T,4
ICT,7
ICT,6
Gen Ed,7
Gen Ed,5
ICT,1
Gen Ed,7
