contract_number,registration_number,registration_date,solicitation_detail
124409,20210001939,2020-07-10T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124119,20210002236,2020-06-16T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124201,20210000787,2020-07-24T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124414,20210000922,2020-06-05T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124207,20210000783,2020-06-19T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124106,20210000872,2020-07-28T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124221,20210001936,2020-07-09T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124416,20210001396,2020-06-15T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124211,20211402501,2020-08-04T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124114,20211401111,2020-07-28T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124414,20210000922,2020-06-05T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124406,20210000873,2020-07-30T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124206,20211400577,2020-07-15T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124206,20211400577,2020-07-15T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124220,20210001818,2020-07-09T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
810109,20211400233,2020-07-10T00:00:00.000,NDA Seniors
124213,20211401566,2020-07-27T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124231,20211402589,2020-10-16T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124217,20210001876,2020-06-09T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124223,20210001082,2020-05-27T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124116,20210000616,2020-06-02T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124114,20211401111,2020-07-28T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124106,20210000872,2020-07-28T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124222,20210001937,2020-07-10T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124215,20210000761,2020-07-24T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124415,20210001382,2020-06-16T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124120,20210001381,2020-06-15T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124414,20210000922,2020-06-05T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124201,20210000787,2020-07-24T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124117,20210002431,2020-06-16T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124120,20210001381,2020-06-15T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124207,20210000783,2020-06-19T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124226,20210000919,2020-09-01T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124413,20210000938,2020-06-05T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124224,20211401955,2020-07-27T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124221,20210001936,2020-07-09T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124206,20211400577,2020-07-15T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124410,20210000874,2020-07-24T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124409,20210001939,2020-07-10T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124115,20211401231,2020-07-27T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124211,20211402501,2020-08-04T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124407,20210002090,2020-06-15T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124404,20211402165,2020-07-30T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124219,20211403436,2020-08-18T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124404,20211402165,2020-07-30T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124212,20211401564,2020-07-27T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124108,20210000758,2020-06-30T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124400,20211405208,2020-09-04T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124215,20210000761,2020-07-24T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124101,20211403799,2020-08-19T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124407,20210002090,2020-06-15T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124225,20211402071,2020-07-30T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124204,20211400576,2020-07-15T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124229,20211402781,2020-08-05T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124213,20211401566,2020-07-27T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124119,20210002236,2020-06-16T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124107,20211400677,2020-07-29T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
124105,20210000871,2020-07-21T00:00:00.000,OST Programs for Elementary School Students Target Zip Codes
