property_active,route_updated_date
1.0,2016-01-22T07:18:00.000
0.0,2016-01-26T09:31:00.000
0.0,2015-11-04T16:14:00.000
1.0,2016-01-26T09:31:00.000
1.0,2016-01-26T09:31:00.000
0.0,2015-10-09T10:53:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-21T17:06:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-04-20T12:36:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-26T09:31:00.000
1.0,2015-10-09T10:51:00.000
1.0,2016-01-22T07:18:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-04-20T12:36:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-21T17:06:00.000
1.0,2016-01-21T16:44:00.000
1.0,2015-11-04T16:14:00.000
1.0,2015-11-04T16:13:00.000
1.0,2016-01-21T16:44:00.000
1.0,2015-11-04T16:13:00.000
1.0,2016-01-21T17:06:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-11-04T16:14:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-21T17:06:00.000
1.0,2016-01-26T09:31:00.000
1.0,2016-04-20T12:36:00.000
1.0,2016-01-21T16:44:00.000
1.0,2015-10-17T08:37:00.000
1.0,2016-01-26T09:31:00.000
0.0,2016-01-26T09:31:00.000
1.0,2016-01-21T17:06:00.000
1.0,2016-01-26T09:31:00.000
1.0,2016-01-26T09:25:00.000
0.0,2016-01-26T09:31:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-11-04T16:13:00.000
1.0,2016-04-20T12:36:00.000
0.0,2015-11-04T16:14:00.000
1.0,2016-01-21T17:06:00.000
1.0,2015-11-04T16:14:00.000
0.0,2016-01-26T09:31:00.000
1.0,2016-01-26T09:31:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-26T09:31:00.000
1.0,2016-01-21T17:06:00.000
1.0,2016-01-22T07:18:00.000
1.0,2015-11-04T16:14:00.000
1.0,2015-10-09T10:51:00.000
0.0,2016-01-26T09:31:00.000
1.0,2016-01-21T17:06:00.000
0.0,2016-01-26T09:31:00.000
0.0,2016-01-26T09:31:00.000
1.0,2016-01-26T09:25:00.000
1.0,2016-04-20T12:36:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-26T09:31:00.000
1.0,2016-01-21T17:06:00.000
1.0,2016-01-21T17:06:00.000
1.0,2016-01-26T09:25:00.000
1.0,2016-01-26T09:31:00.000
1.0,2016-01-21T17:06:00.000
1.0,2015-11-04T16:14:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-21T16:44:00.000
1.0,2015-10-09T10:53:00.000
0.0,2016-01-26T09:25:00.000
0.0,2016-01-26T09:31:00.000
1.0,2016-04-20T12:36:00.000
1.0,2016-01-21T17:06:00.000
1.0,2016-01-26T09:25:00.000
1.0,2016-01-21T17:06:00.000
1.0,2015-10-09T10:51:00.000
1.0,2016-04-20T12:36:00.000
0.0,2015-11-04T16:14:00.000
1.0,2016-01-26T09:25:00.000
0.0,2015-11-04T16:14:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-26T09:25:00.000
1.0,
1.0,2016-01-21T17:06:00.000
0.0,2016-01-26T09:31:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-10-09T10:51:00.000
1.0,2015-11-04T16:13:00.000
1.0,2015-10-09T10:51:00.000
1.0,2015-10-17T08:37:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-10-09T10:53:00.000
1.0,2016-01-21T16:44:00.000
1.0,2015-11-04T16:13:00.000
1.0,2015-11-04T16:14:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-21T16:44:00.000
1.0,2015-11-04T16:13:00.000
1.0,2015-11-04T16:14:00.000
1.0,2015-11-04T16:14:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-04-20T12:36:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-21T17:06:00.000
1.0,2015-11-04T16:13:00.000
1.0,2016-01-21T16:44:00.000
1.0,2016-04-20T12:36:00.000
1.0,2015-10-09T10:51:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-11-04T16:14:00.000
0.0,2016-01-26T09:31:00.000
1.0,2016-01-21T17:06:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-11-04T16:14:00.000
1.0,2015-10-09T10:51:00.000
1.0,2016-01-21T17:06:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-04-20T12:36:00.000
1.0,2016-04-20T12:36:00.000
1.0,2016-04-20T12:36:00.000
0.0,2016-01-26T09:31:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-10-09T10:51:00.000
0.0,2016-01-26T09:31:00.000
1.0,2016-04-20T12:36:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-26T09:25:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-04-20T12:36:00.000
1.0,2015-11-04T16:13:00.000
1.0,2015-11-04T16:14:00.000
1.0,2015-11-04T16:14:00.000
0.0,2016-01-26T09:31:00.000
1.0,2015-11-04T16:14:00.000
1.0,2016-01-26T09:25:00.000
