dbn,school_name,number_of_classes
01M063,THE STAR ACADEMY - PS63,2
01M015,PS 015 ROBERTO CLEMENTE,1
01M184,PS 184M SHUANG WEN,2
01M184,PS 184M SHUANG WEN,2
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",4
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1
01M142,PS 142 AMALIA CASTRO,1
01M184,PS 184M SHUANG WEN,1
01M184,PS 184M SHUANG WEN,2
02M001,PS 001 ALFRED E SMITH,1
01M188,PS 188 THE ISLAND SCHOOL,2
01M019,PS 019 ASHER LEVY,2
02M003,PS 003 CHARRETTE SCHOOL,3
01M184,PS 184M SHUANG WEN,3
01M020,PS 020 ANNA SILVER,1
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,1
01M019,PS 019 ASHER LEVY,2
01M020,PS 020 ANNA SILVER,2
01M110,PS 110 FLORENCE NIGHTINGALE,1
01M140,PS 140 NATHAN STRAUS,2
01M110,PS 110 FLORENCE NIGHTINGALE,2
01M361,THE CHILDREN'S WORKSHOP SCHOOL,2
02M001,PS 001 ALFRED E SMITH,1
01M064,PS 064 ROBERT SIMON,2
02M003,PS 003 CHARRETTE SCHOOL,3
02M002,PS 002 MEYER LONDON,1
01M188,PS 188 THE ISLAND SCHOOL,2
01M140,PS 140 NATHAN STRAUS,1
01M064,PS 064 ROBERT SIMON,1
01M015,PS 015 ROBERTO CLEMENTE,1
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2
01M184,PS 184M SHUANG WEN,1
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,3
01M020,PS 020 ANNA SILVER,1
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,3
02M003,PS 003 CHARRETTE SCHOOL,2
01M019,PS 019 ASHER LEVY,2
02M002,PS 002 MEYER LONDON,2
01M020,PS 020 ANNA SILVER,1
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",4
02M003,PS 003 CHARRETTE SCHOOL,1
01M140,PS 140 NATHAN STRAUS,1
01M361,THE CHILDREN'S WORKSHOP SCHOOL,1
01M110,PS 110 FLORENCE NIGHTINGALE,1
02M001,PS 001 ALFRED E SMITH,1
01M142,PS 142 AMALIA CASTRO,1
01M064,PS 064 ROBERT SIMON,1
01M110,PS 110 FLORENCE NIGHTINGALE,1
02M001,PS 001 ALFRED E SMITH,1
01M188,PS 188 THE ISLAND SCHOOL,2
01M034,PS 034 FRANKLIN D ROOSEVELT,1
02M003,PS 003 CHARRETTE SCHOOL,1
01M140,PS 140 NATHAN STRAUS,1
02M003,PS 003 CHARRETTE SCHOOL,2
02M001,PS 001 ALFRED E SMITH,1
01M134,PS 134 HENRIETTA SZOLD,1
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,1
01M184,PS 184M SHUANG WEN,1
01M034,PS 034 FRANKLIN D ROOSEVELT,1
01M184,PS 184M SHUANG WEN,1
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",5
01M142,PS 142 AMALIA CASTRO,1
01M034,PS 034 FRANKLIN D ROOSEVELT,1
02M003,PS 003 CHARRETTE SCHOOL,3
01M020,PS 020 ANNA SILVER,3
01M034,PS 034 FRANKLIN D ROOSEVELT,1
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,3
01M140,PS 140 NATHAN STRAUS,1
01M110,PS 110 FLORENCE NIGHTINGALE,1
01M019,PS 019 ASHER LEVY,2
02M002,PS 002 MEYER LONDON,2
01M142,PS 142 AMALIA CASTRO,1
01M184,PS 184M SHUANG WEN,1
01M063,THE STAR ACADEMY - PS63,2
01M361,THE CHILDREN'S WORKSHOP SCHOOL,1
01M140,PS 140 NATHAN STRAUS,1
01M015,PS 015 ROBERTO CLEMENTE,1
