contractyear,programname
2023,"4K1-Sunnyside Community Services, Inc.-01|DFTABASELINE"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE"
2023,2K2|Workforce Enhancement Initiative-WEI
2023,1K5|Workforce Enhancement Initiative-WEI
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,"3MB-Isabella Geriatric Center, Inc.-01|DFTABASELINE"
2023,2ME|Workforce Enhancement Initiative-WEI
2023,2MH|Workforce Enhancement Initiative-WEI
2023,"4MD-Queens Community House, Inc.-01|DFTABASELINE"
2023,1K1|Workforce Enhancement Initiative-WEI
2023,"4K3-Services Now for Adult Persons, Inc.-01|DFTABASELINE"
2023,2K2-The Jewish Association For Services for the Aged-01|DFTABASELINE
2023,"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE"
2023,6K3|Workforce Enhancement Initiative-WEI
2023,4MF|Workforce Enhancement Initiative-WEI
2023,"2K4-Heights and Hills, Inc.-01|DFTABASELINE"
2023,3MB|Workforce Enhancement Initiative-WEI
2023,"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE"
2023,"4MD-Queens Community House, Inc.-01|DFTABASELINE"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,1K1-Presbyterian Senior Services-01|DFTABASELINE
2023,"3MB-Isabella Geriatric Center, Inc.-01|DFTABASELINE"
2023,"1K5-THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.-01|DFTABASELINE"
2023,"4K3-Services Now for Adult Persons, Inc.-01|DFTABASELINE"
2023,"3M8-New York Foundation for Senior Citizens, Inc.-01|DFTABASELINE"
2023,"5K1-Jewish Community Center of Staten Island, Incorporated-01|DFTABASELINE"
2023,3K3|Workforce Enhancement Initiative-WEI
2023,"4K1-Sunnyside Community Services, Inc.-01|DFTABASELINE"
2023,"4K3-Services Now for Adult Persons, Inc.-01|DFTABASELINE"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,6K5-VISIONS/Services for the Blind and Visually Impaired-01|DFTABASELINE
2023,"2ME-Heights and Hills, Inc.-01|DFTABASELINE"
2023,"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE"
2023,"3MA-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
2023,"3MB-Isabella Geriatric Center, Inc.-01|DFTABASELINE"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,3K4|Workforce Enhancement Initiative-WEI
2023,2K2-The Jewish Association For Services for the Aged-01|DFTABASELINE
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,5M4|CMA EXPANSION
2023,"5M4-Community Agency for Senior Citizens, Inc.-01|DFTABASELINE"
2023,"2K4-Heights and Hills, Inc.-01|DFTABASELINE"
2023,"2MH-Catholic Charities Neighborhood Services, Inc.-01|DFTABASELINE"
2023,"4K3-Services Now for Adult Persons, Inc.-01|DFTABASELINE"
2023,"2MH-Catholic Charities Neighborhood Services, Inc.-01|DFTABASELINE"
2023,3K4|Workforce Enhancement Initiative-WEI
2023,"3MB-Isabella Geriatric Center, Inc.-01|DFTABASELINE"
2023,4K3|Workforce Enhancement Initiative-WEI
2023,"2ME-Heights and Hills, Inc.-01|DFTABASELINE"
2023,"2ME-Heights and Hills, Inc.-01|DFTABASELINE"
2023,"4MD-Queens Community House, Inc.-01|DFTABASELINE"
2023,"5M4-Community Agency for Senior Citizens, Inc.-01|DFTABASELINE"
2023,4K3|Workforce Enhancement Initiative-WEI
2023,2K4|Workforce Enhancement Initiative-WEI
2023,"6K3-Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc.-01|DFTABASELINE"
2023,"3M8-New York Foundation for Senior Citizens, Inc.-01|DFTABASELINE"
2023,Workforce Enhancement Initiative
2023,4MF|Workforce Enhancement Initiative-WEI
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,2K2-The Jewish Association For Services for the Aged-01|DFTABASELINE
2023,"6K3-Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc.-01|DFTABASELINE"
2023,3MB|Workforce Enhancement Initiative-WEI
2023,6K5|Workforce Enhancement Initiative-WEI
2023,"5K1-Jewish Community Center of Staten Island, Incorporated-01|DFTABASELINE"
2023,6K5-VISIONS/Services for the Blind and Visually Impaired-01|DFTABASELINE
2023,"3K3-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
2023,"2ME-Heights and Hills, Inc.-01|DFTABASELINE"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,"4MF-Catholic Charities Neighborhood Services, Inc.-01|DFTABASELINE"
2023,"1K5-THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.-01|DFTABASELINE"
2023,2K2-The Jewish Association For Services for the Aged-01|DFTABASELINE
2023,4K1|Workforce Enhancement Initiative-WEI
2023,"2K4-Heights and Hills, Inc.-01|DFTABASELINE"
2023,2K2-The Jewish Association For Services for the Aged-01|DFTABASELINE
2023,"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE"
2023,"1K5-THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.-01|DFTABASELINE"
2023,"3M8-New York Foundation for Senior Citizens, Inc.-01|DFTABASELINE"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,"4K1-Sunnyside Community Services, Inc.-01|DFTABASELINE"
2023,6K1|Workforce Enhancement Initiative-WEI
2023,1K1-Presbyterian Senior Services-01|DFTABASELINE
2023,"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE"
2023,"5K1-Jewish Community Center of Staten Island, Incorporated-01|DFTABASELINE"
2023,"3K3-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
2023,5M4|Workforce Enhancement Initiative-WEI
2023,"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE"
2023,"3MA-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
2023,"3K3-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
2023,"1K5-THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.-01|DFTABASELINE"
2023,"6K3-Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc.-01|DFTABASELINE"
2023,"4K1-Sunnyside Community Services, Inc.-01|DFTABASELINE"
2023,"2MH-Catholic Charities Neighborhood Services, Inc.-01|DFTABASELINE"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,6K1|Workforce Enhancement Initiative-WEI
2023,1K1-Presbyterian Senior Services-01|DFTABASELINE
2023,2K2-The Jewish Association For Services for the Aged-01|DFTABASELINE
2023,"3MA-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
2023,"2ME-Heights and Hills, Inc.-01|DFTABASELINE"
2023,"3K3-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
2023,1K1|Workforce Enhancement Initiative-WEI
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,6K5-VISIONS/Services for the Blind and Visually Impaired-01|DFTABASELINE
2023,5M4|CMA EXPANSION
2023,"4K3-Services Now for Adult Persons, Inc.-01|DFTABASELINE"
2023,5K1|Workforce Enhancement Initiative-WEI
2023,"3MA-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,"3K3-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
2023,6K5-VISIONS/Services for the Blind and Visually Impaired-01|DFTABASELINE
2023,5M4|CMA EXPANSION
2023,"01|DFTAONETIME-COUNCIL, BUCKET 1"
2023,3M8|Workforce Enhancement Initiative-WEI
2023,5M4|CMA EXPANSION
2023,1K1-Presbyterian Senior Services-01|DFTABASELINE
2023,5K1|Workforce Enhancement Initiative-WEI
2023,"3MB-Isabella Geriatric Center, Inc.-01|DFTABASELINE"
2023,"2K4-Heights and Hills, Inc.-01|DFTABASELINE"
