effectivedate,permitprintdate,companyid
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2017-01-11T00:00:00.000,2017-01-11T00:00:00.000,6002.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2015-12-30T00:00:00.000,2015-12-30T00:00:00.000,6002.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2018-01-19T00:00:00.000,2018-01-18T00:00:00.000,6001.0
2018-01-19T00:00:00.000,2018-01-18T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-29T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2013-01-16T00:00:00.000,2013-01-16T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2018-01-19T00:00:00.000,2018-01-18T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-29T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-19T00:00:00.000,6002.0
2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2015-05-18T00:00:00.000,2015-05-13T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2013-01-30T00:00:00.000,2013-01-30T00:00:00.000,6001.0
2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2014-04-01T00:00:00.000,6001.0
2015-05-18T00:00:00.000,2015-05-13T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2014-01-14T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-27T00:00:00.000,6002.0
2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2013-01-30T00:00:00.000,2013-01-30T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2018-01-19T00:00:00.000,2018-01-18T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2016-06-01T00:00:00.000,2016-05-31T00:00:00.000,6002.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-28T00:00:00.000,6002.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2013-01-30T00:00:00.000,2013-01-30T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-21T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2018-01-19T00:00:00.000,2018-01-18T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2014-04-01T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2014-04-01T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2014-04-01T00:00:00.000,6001.0
2019-04-03T00:00:00.000,2019-04-03T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2019-01-01T00:00:00.000,2018-12-24T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2015-01-01T00:00:00.000,2014-12-26T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-19T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2018-01-01T00:00:00.000,2017-12-29T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2014-01-01T00:00:00.000,2013-12-23T00:00:00.000,6001.0
2016-01-25T00:00:00.000,2016-01-20T00:00:00.000,6001.0
2013-01-07T00:00:00.000,2013-01-07T00:00:00.000,6001.0
2017-01-19T00:00:00.000,2017-01-18T00:00:00.000,6001.0
