class_size,program_type
27,Gen Ed/ICT/G&T
16,Gen Ed/ICT/G&T
22,Gen Ed/ICT/G&T
29,Gen Ed/ICT/G&T
29,Gen Ed/ICT/G&T
16,Gen Ed/ICT/G&T
15,Gen Ed/ICT/G&T
27,Gen Ed/ICT/G&T
26,Gen Ed/ICT/G&T
17,Gen Ed/ICT/G&T
28,Gen Ed/ICT/G&T
25,Gen Ed/ICT/G&T
15,Gen Ed/ICT/G&T
20,Gen Ed/ICT/G&T
17,Gen Ed/ICT/G&T
21,Gen Ed/ICT/G&T
17,Gen Ed/ICT/G&T
31,Gen Ed/ICT/G&T
<15,Gen Ed/ICT/G&T
22,Gen Ed/ICT/G&T
<15,Gen Ed/ICT/G&T
24,Gen Ed/ICT/G&T
19,Gen Ed/ICT/G&T
25,Gen Ed/ICT/G&T
20,Gen Ed/ICT/G&T
28,Gen Ed/ICT/G&T
21,Gen Ed/ICT/G&T
26,Gen Ed/ICT/G&T
30,Gen Ed/ICT/G&T
16,Gen Ed/ICT/G&T
19,Gen Ed/ICT/G&T
18,Gen Ed/ICT/G&T
25,Gen Ed/ICT/G&T
24,Gen Ed/ICT/G&T
22,Gen Ed/ICT/G&T
23,Gen Ed/ICT/G&T
19,Gen Ed/ICT/G&T
18,Gen Ed/ICT/G&T
19,Gen Ed/ICT/G&T
19,Gen Ed/ICT/G&T
27,Gen Ed/ICT/G&T
17,Gen Ed/ICT/G&T
26,Gen Ed/ICT/G&T
27,Gen Ed/ICT/G&T
17,Gen Ed/ICT/G&T
18,Gen Ed/ICT/G&T
<15,Gen Ed/ICT/G&T
29,Gen Ed/ICT/G&T
23,Gen Ed/ICT/G&T
15,Gen Ed/ICT/G&T
26,Gen Ed/ICT/G&T
15,Gen Ed/ICT/G&T
16,Gen Ed/ICT/G&T
19,Gen Ed/ICT/G&T
25,Gen Ed/ICT/G&T
18,Gen Ed/ICT/G&T
24,Gen Ed/ICT/G&T
20,Gen Ed/ICT/G&T
23,Gen Ed/ICT/G&T
16,Gen Ed/ICT/G&T
19,Gen Ed/ICT/G&T
27,Gen Ed/ICT/G&T
16,Gen Ed/ICT/G&T
22,Gen Ed/ICT/G&T
21,Gen Ed/ICT/G&T
28,Gen Ed/ICT/G&T
20,Gen Ed/ICT/G&T
20,Gen Ed/ICT/G&T
24,Gen Ed/ICT/G&T
24,Gen Ed/ICT/G&T
16,Gen Ed/ICT/G&T
26,Gen Ed/ICT/G&T
16,Gen Ed/ICT/G&T
24,Gen Ed/ICT/G&T
16,Gen Ed/ICT/G&T
18,Gen Ed/ICT/G&T
